4,2,[-0.68857039  0.3653346  -0.5081309 ],[1.25890734e-09 0.00000000e+00 0.00000000e+00 0.00000000e+00]
50,30,[0.48592989 0.63994689 0.58801475],"[7.40050971e-10 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
2,2,[5.71477561e+02 4.39711214e+00 7.61645200e-02],[3.34040667e-10 1.32230264e-10]
2,2,[476.15079688   5.84264882   1.22609339],[0. 0.]
2,1,[686.61942305  10.51017609   0.81456874],[8.50883745e-09 8.50883745e-09]
2,2,[549.49093344   1.94354511  -0.62903566],[1.91323087e-09 1.91323087e-09]
